,Fossil CO2 emissions by country (territorial),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,0.30,0.70,2.30,,0.42,,0.10,17.21,1.20,0.15,32.81,10.70,7.24,0.30,0.18,0.87,0.07,15.21,28.68,0.02,0.03,0.06,,0.03,1.98,0.00,17.49,0.00,0.13,13.30,0.03,0.01,0.12,70.71,0.01,0.02,0.02,5.12,149.96,6.41,0.01,0.08,,0.27,0.34,2.15,4.14,2.26,0.34,33.17,12.99,0.66,13.67,0.04,0.00,0.46,0.66,7.24,0.36,0.01,,5.52,0.22,0.04,,0.09,8.05,103.82,0.01,0.03,0.10,0.01,2.23,259.67,0.39,5.08,0.11,0.01,0.07,0.47,0.20,0.02,0.32,0.08,0.22,1.41,16.83,0.41,43.50,6.38,7.55,4.12,17.50,3.71,58.40,0.96,114.42,0.43,36.38,0.73,0.00,,9.59,3.12,0.06,3.65,0.99,,0.17,0.72,,5.65,3.17,0.04,1.45,0.16,0.12,2.68,,0.05,0.11,,0.07,0.05,0.08,,22.06,0.53,0.20,0.00,1.49,0.58,0.77,,0.01,0.05,28.26,0.41,3.82,0.26,0.04,3.52,,5.33,,0.01,4.67,,0.45,0.09,0.14,3.61,4.40,0.46,68.89,3.23,1.71,0.09,8.18,5.67,0.06,0.66,0.05,22.95,333.93,0.01,0.00,0.01,0.27,0.01,0.00,1.75,0.47,5.77,0.00,0.08,0.13,10.59,1.64,0.01,0.04,35.00,21.18,0.73,,0.01,0.01,0.30,0.06,19.79,8.59,1.34,5.31,1.78,2.58,,0.05,0.00,1.11,0.79,8.60,4.59,,,0.20,105.79,0.01,168.69,0.37,974.73,1.47,14.04,0.02,15.55,5.24,,0.95,0.95,1.65,2571.39,571.92,2131.66,1011.65,752.61,60.39,436.31,12.33,1406.37,54.30,1067.62,37.23,68.76,95.47,0.00,3238.79
1967,0.35,0.73,2.30,,0.27,,0.15,17.87,1.25,0.19,35.25,10.89,7.58,0.46,0.27,0.92,0.09,15.92,29.30,0.03,0.04,0.06,,0.04,2.01,0.00,17.99,0.00,0.12,15.04,0.03,0.01,0.11,76.87,0.01,0.03,0.03,5.25,125.61,6.74,0.01,0.09,,0.24,0.37,2.17,4.30,2.78,0.37,33.10,14.30,0.62,13.38,0.02,0.01,0.43,0.71,5.36,0.32,0.01,,5.77,0.29,0.05,,0.10,7.80,110.44,0.02,0.04,0.28,0.01,2.33,255.52,0.41,5.32,0.11,0.01,0.08,0.54,0.20,0.01,0.36,0.07,0.24,1.65,16.04,0.39,43.55,6.70,5.01,4.47,18.53,3.69,63.90,1.05,133.54,0.39,38.03,0.74,0.01,,6.94,3.26,0.09,3.82,0.97,,0.17,5.05,,5.91,3.10,0.05,1.47,0.23,0.10,2.76,,0.06,0.14,,0.08,0.05,0.14,,24.56,0.59,0.20,0.00,1.48,0.51,0.99,,0.01,0.06,29.12,0.40,3.72,0.29,0.04,3.50,,5.27,,0.04,4.96,,0.46,0.12,0.13,3.72,4.97,0.52,70.69,3.38,1.82,0.13,9.58,5.94,0.07,0.80,0.06,25.12,349.17,0.01,0.00,0.01,0.33,0.01,0.00,6.96,0.19,5.83,0.00,0.07,0.77,10.57,1.65,0.01,0.06,36.51,23.58,0.80,,0.01,0.01,0.36,0.06,18.81,8.88,1.26,6.00,1.86,3.32,,0.05,0.00,1.26,0.84,9.14,4.81,,,0.22,110.60,0.25,161.59,0.48,1011.32,1.33,14.71,0.02,17.95,6.27,,0.83,1.31,1.45,2665.50,574.06,2205.90,1033.66,769.42,64.75,442.19,13.67,1437.45,56.10,1112.87,39.58,72.95,102.15,0.00,3341.71
1968,0.33,0.84,2.47,,0.46,,0.27,18.83,1.29,0.17,36.71,11.54,7.80,0.44,0.30,1.06,0.12,16.37,32.32,0.03,0.04,0.06,,0.04,2.14,0.00,21.03,0.00,0.12,16.23,0.03,0.02,0.13,82.77,0.01,0.05,0.03,5.79,135.24,7.25,0.01,0.12,0.00,0.28,0.44,2.32,4.37,2.58,0.44,34.63,16.18,0.92,14.54,0.03,0.01,0.64,0.85,6.24,0.34,0.01,,5.93,0.47,0.05,,0.11,9.08,114.15,0.02,0.04,0.54,0.01,2.40,268.77,0.48,6.08,0.15,0.01,0.08,0.58,0.20,0.02,0.36,0.07,0.33,1.69,16.67,0.43,47.51,7.52,5.38,4.86,22.47,3.76,68.01,1.06,153.36,0.41,39.09,0.77,0.01,,6.32,3.36,0.05,3.93,1.01,,0.24,8.22,,6.08,3.35,0.05,1.57,0.25,0.11,2.87,,0.05,0.17,,0.08,0.06,0.17,,25.62,0.68,0.21,0.00,1.53,0.76,0.80,,0.01,0.07,30.96,0.50,3.68,0.34,0.04,1.81,,5.76,,0.04,5.69,,0.55,0.14,0.16,3.95,6.07,0.59,75.27,3.55,1.93,0.14,10.15,6.11,0.07,0.78,0.06,27.31,358.98,0.02,0.00,0.01,0.31,0.01,0.00,7.94,0.03,6.24,0.00,0.10,1.40,11.06,1.77,0.01,0.04,37.65,26.48,0.88,,0.01,0.01,0.40,0.08,21.18,9.82,1.62,6.59,1.92,4.66,,0.05,0.00,1.10,0.98,9.90,4.95,,,0.27,113.69,0.34,165.53,0.45,1048.29,1.33,15.15,0.02,17.90,6.44,,3.18,1.25,1.74,2795.10,620.57,2321.78,1093.89,816.70,70.30,485.82,14.07,1504.44,64.60,1156.84,41.12,78.48,108.04,0.00,3523.72
1969,0.26,0.88,3.07,,0.76,,0.34,21.08,1.35,0.23,38.79,12.18,8.12,0.48,0.35,1.02,0.13,17.05,33.70,0.04,0.06,0.05,,0.05,2.22,0.00,22.90,0.01,0.13,18.10,0.03,0.02,0.36,83.82,0.01,0.05,0.04,6.15,165.85,7.65,0.01,0.14,0.00,0.31,0.52,2.41,4.71,3.38,0.46,36.76,17.49,1.00,16.20,0.02,0.01,0.72,0.98,5.37,0.32,0.01,,6.17,0.45,0.06,,0.12,10.34,121.02,0.02,0.04,0.39,0.01,2.50,287.12,0.46,6.94,0.11,0.01,0.09,0.62,0.20,0.02,0.37,0.09,0.32,2.12,17.02,0.34,48.42,9.11,6.17,5.05,22.66,4.04,73.60,1.16,178.28,0.48,40.70,0.85,0.00,,7.32,3.49,0.09,4.09,1.19,,0.35,9.69,,6.34,3.60,0.05,1.62,0.23,0.10,2.49,,0.04,0.18,,0.09,0.08,0.16,,27.89,0.73,0.22,0.00,1.59,0.88,0.88,,0.02,0.11,31.61,0.43,3.89,0.35,0.05,3.30,,6.06,,0.06,5.52,,0.56,0.15,0.14,4.17,6.23,0.69,80.07,3.98,1.96,0.16,11.59,6.36,0.10,1.05,0.06,30.44,373.86,0.02,0.00,0.02,0.40,0.01,0.00,9.63,0.13,6.47,0.00,0.30,1.88,11.74,1.83,0.01,0.04,39.07,26.40,1.18,,0.01,0.01,0.42,0.08,23.58,10.38,1.97,7.18,2.00,3.97,,0.07,0.00,1.06,1.05,10.58,5.16,,,0.32,118.39,5.60,171.50,0.49,1101.30,1.53,15.80,0.01,18.81,7.38,,1.28,1.17,1.84,2956.89,687.48,2463.51,1180.86,870.91,75.91,551.79,15.66,1586.35,73.27,1213.12,43.36,84.92,113.10,0.00,3757.48
1970,0.46,1.02,4.11,,0.98,,0.13,22.56,1.42,0.25,40.25,13.82,8.54,0.70,0.71,1.04,0.12,17.94,34.25,0.03,0.08,0.06,0.00,0.05,2.91,,25.45,0.01,2.24,16.70,0.04,0.02,0.32,93.12,0.01,0.06,0.03,6.72,220.51,7.74,0.01,0.16,0.00,0.34,0.61,3.15,5.09,3.78,0.46,42.15,20.05,0.74,16.93,0.04,0.01,0.85,1.17,5.91,0.39,0.01,,6.49,0.45,0.07,,0.14,11.01,125.67,0.03,0.05,0.57,0.01,2.63,280.03,0.72,6.58,0.10,0.01,0.08,0.63,0.22,0.02,0.43,0.10,0.38,2.29,19.09,0.38,49.60,9.77,6.52,5.29,25.05,4.52,80.89,1.36,209.60,0.42,42.82,0.84,0.01,,6.83,3.68,0.16,4.30,1.08,,0.40,8.82,,6.67,3.75,0.06,2.12,0.26,0.12,3.98,0.00,0.06,0.18,,0.10,0.12,0.14,,31.10,0.78,0.29,0.00,1.99,0.81,1.26,,0.02,0.06,38.70,0.65,3.87,0.38,0.06,5.87,0.00,7.64,,0.06,5.60,,0.60,0.19,0.20,4.85,6.76,0.68,83.01,4.16,2.06,0.17,14.66,6.70,0.11,1.21,0.09,32.75,393.20,0.02,0.00,0.02,0.45,0.01,0.00,12.35,0.36,8.45,0.01,0.23,4.87,13.47,2.40,0.01,0.06,40.83,31.87,0.98,,0.01,0.01,0.44,0.10,25.19,10.98,1.81,7.84,2.10,4.19,,0.08,0.01,2.45,1.02,11.62,5.42,0.00,,0.39,124.53,4.16,178.11,0.48,1184.41,1.57,16.58,0.01,20.33,7.69,,0.69,1.03,2.23,3154.38,792.63,2641.71,1305.30,908.95,82.68,658.64,18.53,1663.28,77.88,1308.74,45.09,92.16,119.23,0.00,4066.24
1971,0.52,1.19,5.09,,0.93,,0.12,24.25,1.50,0.22,41.66,14.21,9.07,1.84,0.83,0.98,0.13,19.04,33.13,0.04,0.08,0.06,0.00,0.05,3.13,,27.86,0.01,2.05,17.53,0.04,0.02,0.06,96.15,0.01,0.05,0.04,7.38,248.15,8.26,0.01,0.19,0.00,0.42,0.67,3.39,5.35,3.29,0.51,44.21,29.33,0.81,15.56,0.04,0.01,0.96,1.15,6.28,0.41,0.02,,6.89,0.50,0.07,,0.15,11.06,134.67,0.03,0.06,0.78,0.02,2.79,283.09,0.63,7.57,0.13,0.01,0.09,0.67,0.22,0.02,0.41,0.11,0.36,2.50,18.89,0.40,52.39,10.63,7.87,6.13,27.74,4.43,84.89,1.57,217.40,0.45,45.41,1.00,0.01,,7.40,3.90,0.12,4.57,1.45,,0.42,5.90,,7.09,3.60,0.06,2.29,0.28,0.14,4.55,0.00,0.06,0.18,,0.15,0.11,0.11,,34.44,0.83,0.31,0.00,2.23,0.99,1.39,,0.02,0.05,38.39,0.66,4.11,0.41,0.06,8.80,0.00,7.41,,0.57,5.31,,0.71,0.23,0.17,5.07,7.52,0.83,85.39,4.47,2.50,0.22,15.98,7.11,0.11,1.25,0.09,34.30,417.26,0.02,0.00,0.02,0.39,0.01,0.00,16.31,0.37,9.11,0.01,0.22,4.44,14.13,2.58,0.01,0.05,45.96,35.06,0.87,,0.01,0.01,0.47,0.11,23.06,11.43,2.42,8.59,2.23,5.24,,0.09,0.01,2.21,1.15,13.00,5.76,0.00,,0.39,132.14,5.78,180.24,0.67,1191.45,1.58,17.64,0.02,17.06,6.69,,0.54,1.03,2.38,3233.52,872.42,2692.46,1413.48,934.57,90.67,715.06,19.75,1725.70,91.28,1322.18,46.78,94.54,125.90,0.00,4231.85
1972,0.42,1.54,7.73,,1.23,,0.10,24.58,1.59,0.21,42.94,15.30,9.55,1.77,1.00,0.96,0.14,20.04,35.65,0.04,0.11,0.07,0.00,0.05,2.93,0.01,31.04,0.01,2.58,18.03,0.04,0.02,0.03,103.93,0.01,0.05,0.03,7.68,264.37,8.58,0.01,0.18,0.00,0.48,0.74,3.17,5.67,3.19,0.66,44.61,24.43,0.82,16.26,0.05,0.01,1.27,1.25,6.95,0.46,0.02,,7.25,0.38,0.06,,0.16,12.04,140.28,0.03,0.06,0.75,0.02,2.94,284.25,0.66,8.59,0.15,0.01,0.10,0.74,0.23,0.02,0.43,0.11,0.42,2.53,18.93,0.40,55.41,11.82,8.06,6.01,28.93,4.61,89.58,1.71,232.58,0.52,47.74,1.06,0.01,,7.54,4.11,0.13,4.81,1.54,,0.41,4.15,,7.48,3.68,0.06,2.14,0.35,0.15,4.89,0.00,0.07,0.23,,0.21,0.12,0.19,,36.10,0.89,0.29,0.00,2.19,0.90,1.34,,0.02,0.07,42.98,0.47,4.42,0.44,0.07,11.30,0.00,8.02,,0.57,5.16,,0.76,0.35,0.19,4.95,7.21,0.97,89.93,5.00,2.94,0.23,16.44,7.48,0.12,1.34,0.10,36.10,439.01,0.02,0.00,0.02,0.38,0.01,0.00,19.18,0.40,8.53,0.01,0.19,5.93,14.26,2.42,0.02,0.06,46.82,39.50,0.97,,0.02,0.01,0.48,0.10,23.12,11.71,2.12,9.79,2.35,5.94,,0.11,0.01,2.25,1.29,14.66,6.07,0.00,,0.38,139.03,6.40,176.86,0.59,1248.09,1.66,18.56,0.02,17.06,6.29,,0.41,1.11,2.24,3376.25,918.73,2808.11,1486.87,970.12,96.14,755.94,20.84,1788.20,98.48,1388.29,48.19,98.90,134.26,0.00,4429.24
1973,0.45,1.44,10.45,,1.33,,0.09,25.65,1.65,0.24,46.62,16.38,9.96,2.15,1.51,1.24,0.13,20.89,37.84,0.04,0.10,0.12,0.00,0.05,3.51,0.01,35.94,0.01,2.72,18.75,0.05,0.02,0.02,104.06,0.02,0.04,0.04,7.53,275.19,9.18,0.01,0.33,0.00,0.56,0.79,3.80,6.11,3.54,0.68,44.79,26.56,0.87,16.16,0.05,0.01,1.63,1.43,6.49,0.54,0.01,,7.56,0.48,0.07,,0.17,13.46,147.02,0.03,0.06,1.45,0.02,3.07,296.33,0.67,10.13,0.15,0.02,0.11,0.80,0.22,0.03,0.49,0.11,0.41,2.53,19.91,0.48,57.07,13.40,8.35,6.24,35.34,5.26,96.44,2.26,249.53,0.60,49.73,1.07,0.01,,6.61,4.28,0.14,5.01,1.93,,0.40,3.98,,7.81,3.87,0.06,2.56,0.29,0.16,4.78,0.00,0.07,0.22,,0.26,0.13,0.19,,39.32,0.95,0.35,0.00,2.62,0.97,1.12,,0.02,0.12,45.10,0.71,4.97,0.50,0.09,13.52,0.00,8.32,,0.58,5.46,,0.88,0.37,0.24,5.38,8.60,0.94,91.59,5.44,3.40,0.24,19.92,7.80,0.12,1.36,0.11,39.51,457.56,0.02,0.00,0.02,0.42,0.01,0.00,25.94,0.42,10.19,0.01,0.15,5.65,14.32,2.89,0.02,0.07,47.31,42.29,1.01,,0.01,0.01,0.57,0.10,23.82,12.61,2.15,10.98,2.45,6.64,,0.11,0.01,2.56,1.32,16.19,6.33,0.00,,0.32,144.89,8.35,180.02,0.87,1305.96,1.57,19.36,0.02,18.13,6.84,,0.74,1.25,2.53,3531.48,988.05,2942.36,1577.17,1017.37,103.28,798.17,23.78,1868.06,116.95,1449.50,52.68,107.10,143.73,0.00,4663.26
1974,0.52,1.18,8.70,,1.33,,0.12,26.06,1.72,0.22,46.99,15.64,10.34,2.01,1.47,1.27,0.13,21.70,36.83,0.04,0.11,0.12,0.00,0.05,3.52,0.02,38.92,0.01,2.23,19.41,0.06,0.03,0.01,106.34,0.02,0.03,0.04,7.06,280.59,9.93,0.01,0.44,0.00,0.52,0.89,3.81,6.25,3.21,0.53,45.31,27.73,0.92,15.02,0.05,0.01,1.75,1.66,7.12,0.54,0.01,,7.85,0.47,0.08,,0.18,12.72,142.11,0.03,0.06,1.49,0.02,3.19,290.05,0.80,9.84,0.15,0.01,0.11,0.84,0.23,0.03,0.42,0.13,0.42,2.91,20.19,0.47,58.91,13.98,8.44,6.36,39.24,5.29,97.78,2.07,249.54,0.61,51.58,1.35,0.01,,5.27,4.45,0.08,5.21,1.93,,0.47,2.55,,8.12,3.94,0.07,2.57,0.32,0.15,5.20,0.00,0.08,0.20,,0.28,0.13,0.19,,42.23,1.02,0.35,0.00,3.03,0.86,1.27,,0.03,0.12,43.66,0.76,5.12,0.53,0.08,16.99,0.00,7.56,,0.64,5.84,,0.82,0.43,0.26,5.82,8.32,0.96,94.50,5.63,2.86,0.27,20.62,8.10,0.13,1.42,0.12,41.14,474.98,0.02,0.00,0.02,0.38,0.01,0.01,26.94,0.50,10.23,0.02,0.14,5.85,14.48,2.90,0.02,0.09,48.18,47.12,0.80,,0.01,0.01,0.44,0.09,21.79,11.31,2.63,10.73,2.54,6.58,,0.11,0.01,2.74,1.47,16.63,6.58,0.00,,0.32,150.39,8.54,168.45,0.63,1261.20,1.55,20.11,0.02,20.49,5.20,,0.61,1.15,2.47,3493.75,1017.27,2882.51,1628.51,1012.13,106.13,810.35,23.58,1873.03,121.10,1409.93,53.30,113.60,133.48,0.00,4644.51
1975,0.58,1.25,8.73,,1.20,,0.19,25.89,1.81,0.16,47.96,14.80,10.87,2.25,1.57,1.33,0.16,22.81,33.25,0.05,0.12,0.13,0.00,0.03,3.67,0.05,40.91,0.01,1.93,19.90,0.06,0.02,0.01,108.29,0.02,0.03,0.05,6.26,322.93,9.77,0.01,0.30,0.00,0.56,1.09,3.97,7.38,2.32,0.54,47.40,29.37,0.88,15.21,0.05,0.01,1.73,2.01,8.48,0.57,0.02,,8.25,0.33,0.10,,0.17,12.56,131.61,0.03,0.06,1.46,0.03,3.35,273.59,0.75,10.55,0.14,0.01,0.11,0.96,0.23,0.03,0.50,0.13,0.45,3.00,20.54,0.44,63.92,14.72,9.04,6.02,38.00,5.33,93.08,2.23,237.04,0.68,54.19,1.36,0.01,,4.59,4.68,0.07,5.48,1.71,,0.40,3.16,,8.55,3.24,0.08,2.69,0.46,0.16,5.31,0.00,0.09,0.18,,0.25,0.14,0.16,,44.80,1.11,0.36,0.00,3.02,0.79,1.25,,0.03,0.10,41.63,0.69,4.99,0.53,0.09,12.92,0.00,8.35,,1.98,6.33,,1.00,0.42,0.23,5.98,8.87,1.11,102.29,5.81,2.99,0.32,22.29,8.52,0.10,1.06,0.13,44.22,499.27,0.05,0.00,0.02,0.28,0.02,0.01,22.72,0.70,10.67,0.02,0.14,6.51,15.15,3.02,0.02,0.14,50.49,49.41,0.79,,0.01,0.01,0.55,0.09,22.04,10.66,3.05,11.86,2.68,6.61,,0.09,0.01,2.62,1.51,17.85,6.92,0.00,,0.31,158.08,8.47,164.64,0.62,1222.22,1.63,21.14,0.02,17.40,5.94,,0.59,1.11,2.27,3453.52,1078.96,2810.58,1721.90,992.30,105.85,858.01,24.46,1883.82,118.57,1375.46,54.05,112.26,122.16,0.00,4654.65
1976,0.54,1.35,10.68,,0.90,,0.11,27.21,1.88,0.33,47.51,15.89,11.29,1.76,1.79,1.52,0.15,23.68,35.39,0.05,0.07,0.13,0.00,0.07,3.79,0.16,42.06,0.01,1.64,19.91,0.06,0.02,0.01,108.89,0.02,0.04,0.05,6.56,334.72,10.37,0.01,0.34,0.00,0.57,1.08,4.10,7.42,4.97,0.68,49.24,30.03,0.93,16.40,0.05,0.01,1.73,2.21,9.40,0.60,0.02,,8.57,0.32,0.09,,0.13,13.97,142.87,0.08,0.07,1.56,0.03,3.48,297.72,0.66,11.64,0.06,0.01,0.14,0.90,0.24,0.03,0.48,0.18,0.48,3.41,21.79,0.46,66.80,16.86,13.30,6.08,42.70,5.32,99.84,1.99,247.58,0.80,56.22,1.25,0.01,,5.04,4.86,0.06,5.69,1.62,,0.40,4.88,,8.88,3.24,0.07,2.77,0.27,0.16,6.52,0.00,0.09,0.21,,0.23,0.14,0.17,,50.15,1.20,0.37,0.00,3.14,0.70,1.34,,0.03,0.08,46.16,0.65,5.25,0.61,0.09,15.06,0.00,9.10,,2.27,6.22,,0.98,0.43,0.28,6.11,9.57,1.25,108.66,6.09,2.83,0.30,25.41,8.85,0.09,0.94,0.17,47.62,518.50,0.07,0.00,0.02,0.59,0.01,0.01,27.69,0.48,11.01,0.02,0.12,8.01,15.75,3.12,0.02,0.13,52.65,53.97,0.76,,0.01,0.01,0.54,0.09,24.08,11.04,3.75,15.31,2.78,7.79,,0.09,0.01,4.34,1.59,20.02,7.18,0.00,,0.27,164.16,10.81,163.35,0.76,1295.79,1.61,21.96,0.01,15.63,3.79,,0.70,1.10,2.96,3638.31,1152.37,2976.91,1813.77,1067.57,114.86,899.34,28.68,1986.10,138.65,1454.89,53.77,114.38,119.77,0.00,4910.45
1977,0.65,1.56,11.42,,0.96,,0.13,27.49,1.95,0.17,51.20,15.28,11.68,2.65,2.04,1.58,0.16,24.47,34.44,0.05,0.08,0.12,0.00,0.04,3.69,0.21,44.16,0.01,1.74,20.69,0.07,0.03,0.01,111.30,0.02,0.04,0.05,6.28,365.95,10.71,0.01,0.13,0.01,0.71,1.11,3.99,8.02,2.59,0.74,50.71,31.02,0.95,16.87,0.05,0.01,1.53,2.04,10.32,0.62,0.02,,8.86,0.29,0.11,,0.21,13.68,138.37,0.09,0.08,1.72,0.03,3.60,287.28,0.82,12.73,0.20,0.01,0.14,1.04,0.25,0.03,0.52,0.19,0.54,3.88,22.65,0.52,70.68,22.49,11.91,6.43,44.69,5.39,96.73,2.03,254.70,0.86,58.08,1.37,0.01,,4.69,5.02,0.06,5.88,1.47,,0.40,5.51,,9.19,2.99,0.08,2.70,0.23,0.17,6.17,0.00,0.11,0.22,,0.23,0.15,0.18,,52.51,1.35,0.36,0.01,3.45,0.74,1.41,,0.03,0.09,44.65,0.58,5.54,0.77,0.10,13.78,0.00,9.10,,2.32,6.64,,0.94,0.43,0.31,6.36,10.01,1.22,114.07,6.17,2.71,0.43,28.78,9.15,0.09,0.95,0.18,48.60,536.14,0.07,0.00,0.02,0.31,0.02,0.01,32.22,0.61,10.71,0.02,0.14,7.54,16.22,3.03,0.02,0.22,54.51,53.17,0.79,,0.01,0.01,0.52,0.09,23.40,11.20,3.99,16.68,2.87,8.70,,0.13,0.01,4.41,1.84,22.14,7.43,0.00,,0.22,169.73,10.58,164.95,0.55,1334.50,1.54,22.70,0.01,17.37,4.16,,0.81,1.02,2.53,3704.99,1222.36,3025.88,1901.47,1057.07,118.41,958.95,27.80,2001.45,145.82,1498.51,57.80,118.61,122.55,0.00,5049.90
1978,0.59,1.77,17.05,,1.47,,0.13,27.99,2.01,0.15,55.08,15.62,12.08,1.80,2.12,1.63,0.17,25.31,36.97,0.06,0.10,0.12,0.00,0.03,4.12,0.23,48.16,0.01,2.60,22.16,0.10,0.03,0.01,113.41,0.06,0.04,0.05,6.23,407.42,11.34,0.01,0.09,0.01,0.79,1.31,4.46,8.37,2.21,0.78,51.16,29.53,0.96,16.67,0.06,0.01,1.48,2.84,10.72,0.65,0.02,,9.17,0.37,0.11,,0.19,14.14,144.32,0.09,0.09,2.06,0.04,3.73,294.52,0.81,13.01,0.11,0.01,0.14,1.12,0.25,0.03,0.56,0.20,0.56,4.29,24.01,0.52,71.82,25.64,11.52,6.44,44.24,5.74,101.33,2.49,246.07,0.99,60.02,1.45,0.01,,5.72,5.19,0.06,6.09,1.50,,0.41,5.77,,9.52,3.24,0.11,3.01,0.28,0.18,6.35,0.01,0.11,0.26,,0.20,0.16,0.17,,60.62,1.57,0.41,0.01,3.55,0.78,1.40,,0.03,0.09,46.34,0.42,4.92,0.72,0.11,13.16,0.00,8.91,,2.13,7.11,,0.77,0.46,0.40,6.12,10.20,1.37,117.60,6.16,2.87,0.54,30.87,9.47,0.08,0.86,0.20,52.82,554.55,0.08,0.00,0.03,0.26,0.03,0.01,31.39,0.71,11.96,0.02,0.19,8.86,16.37,3.38,0.02,0.15,55.10,54.45,0.94,,0.01,0.01,0.65,0.12,21.69,11.51,4.14,19.39,2.97,9.48,,0.10,0.01,4.18,2.04,20.94,7.69,0.00,,0.19,175.54,12.21,165.04,0.60,1348.62,1.56,23.49,0.02,18.72,4.20,,0.85,0.95,2.53,3775.83,1306.44,3075.10,2007.17,1092.69,126.44,1007.88,26.99,2064.92,146.36,1522.77,60.87,126.04,124.39,0.00,5206.66
1979,0.61,2.07,12.43,,1.50,,0.11,30.19,2.03,0.16,55.91,16.74,12.18,1.89,2.22,1.80,0.16,25.51,38.15,0.06,0.10,0.13,0.01,0.03,4.48,0.26,51.07,0.01,2.03,21.54,0.11,0.03,0.01,120.54,0.07,0.03,0.06,6.75,416.39,12.08,0.01,0.10,0.01,0.76,1.48,4.85,8.65,2.32,0.83,49.82,30.09,1.02,17.19,0.10,0.01,1.85,3.31,11.71,0.65,0.02,,9.24,0.50,0.13,,0.23,14.80,145.24,0.15,0.08,1.84,0.04,3.76,305.10,0.72,13.87,0.16,0.01,0.15,1.28,0.26,0.03,0.42,0.20,0.52,4.32,23.47,0.54,75.41,25.97,14.42,7.48,44.48,5.69,105.15,2.33,260.12,1.03,60.47,1.37,0.01,,4.81,5.23,0.06,6.14,1.58,,0.53,7.08,,9.60,3.32,0.11,3.28,0.31,0.17,7.45,0.01,0.12,0.25,,0.19,0.17,0.18,,65.57,1.71,0.44,0.01,4.33,0.72,1.39,,0.03,0.14,51.04,0.45,4.50,0.47,0.13,19.16,0.00,9.46,,2.11,7.68,,0.87,0.49,0.36,6.06,10.38,1.29,120.44,6.78,3.91,0.50,36.26,9.54,0.08,0.89,0.25,53.41,559.15,0.08,0.00,0.04,0.28,0.02,0.01,37.67,0.79,13.00,0.03,0.19,9.67,15.94,3.68,0.03,0.13,59.68,55.33,1.04,,0.01,0.01,0.63,0.12,23.16,10.88,6.14,20.68,3.00,9.92,,0.38,0.01,4.56,2.39,20.48,7.75,0.00,,0.18,177.00,9.97,175.90,0.56,1366.97,1.71,23.67,0.02,20.86,4.43,,0.88,0.98,2.57,3862.47,1367.08,3165.55,2064.00,1122.57,136.46,1046.27,27.98,2113.96,155.39,1553.25,61.36,134.88,124.84,0.00,5354.38
1980,0.48,1.41,18.13,,1.46,,0.04,29.66,2.11,0.16,60.19,14.20,12.66,2.18,2.15,2.07,0.18,26.51,36.80,0.05,0.13,0.12,0.01,0.03,4.41,0.27,50.62,0.01,1.88,21.08,0.12,0.04,0.08,120.86,0.03,0.03,0.06,6.85,407.89,12.06,0.01,0.11,0.01,0.67,1.52,4.77,8.56,2.38,0.89,50.40,31.14,0.95,16.47,0.10,0.01,1.75,3.66,12.33,0.58,0.02,,9.61,0.50,0.12,,0.22,15.87,139.50,0.10,0.08,1.81,0.04,3.90,300.24,0.70,13.89,0.15,0.01,0.15,1.23,0.26,0.04,0.49,0.20,0.56,4.53,23.64,0.51,79.62,25.89,12.38,7.17,32.89,5.73,105.47,2.30,257.88,1.28,62.82,1.68,0.01,,6.72,5.43,0.05,6.38,1.61,,0.56,7.31,,9.98,3.02,0.14,3.22,0.44,0.19,7.65,0.01,0.11,0.28,,0.19,0.17,0.16,,73.07,1.87,0.43,0.00,4.32,0.87,1.50,,0.03,0.15,48.21,0.55,4.77,0.55,0.16,18.57,0.00,8.68,,1.65,8.71,,0.85,0.50,0.41,6.57,10.06,1.27,126.45,7.31,3.57,1.06,36.72,9.91,0.09,0.94,0.22,53.55,581.15,0.14,0.00,0.03,0.28,0.02,0.01,46.19,0.91,12.78,0.03,0.17,8.31,16.13,3.61,0.03,0.22,62.28,58.38,0.92,,0.01,0.01,0.65,0.13,19.57,11.05,5.66,22.79,3.11,10.84,,0.22,0.01,4.62,2.58,20.53,8.05,0.00,,0.17,183.97,10.05,158.03,0.51,1312.37,1.59,24.58,0.02,24.74,4.58,,0.90,0.96,2.62,3811.16,1389.40,3093.17,2107.39,1112.86,146.42,1048.94,27.73,2115.05,151.30,1506.47,66.00,138.65,121.84,0.00,5322.40
